"Country","ContinentCode","Year","GDP","INF","UER","TR","RL","UP","CR","GE","PS","HI","HDI"
"Hungary","EU","2015",3.7,-0.1,6.81,23.23,0.4,70.5,0.15,0.55,9.84,4.8,0.835
"Hungary","EU","2020",-4.46,3.3,4.25,22.94,0.51,71.94,0.09,0.57,9.75,5.99,0.854
"Iceland","EU","2015",4.44,1.6,3.98,22.69,1.66,93.7,1.94,1.49,0.33,7.56,0.927
"Iceland","EU","2020",-6.5,2.8,5.48,22.31,1.79,93.9,1.7,1.51,0.37,7.55,0.949
"India","AS","2015",8,4.9,5.43,10.57,-0.05,32.78,-0.38,0.11,1310.15,4.57,0.627
"India","AS","2020",-6.6,6.6,8,12.02,-0.03,34.93,-0.27,0.41,1380,3.82,0.645
"Indonesia","AS","2015",4.88,6.4,4.51,10.75,-0.41,53.31,-0.5,-0.3,258.38,5.4,0.696
"Indonesia","AS","2020",-2.07,1.9,4.28,8.31,-0.33,56.64,-0.43,0.35,273.52,5.35,0.718
"Ireland","EU","2015",25.18,-0.3,9.91,18.78,1.76,62.54,1.71,1.55,4.7,6.94,0.926
"Ireland","EU","2020",5.87,-0.3,5.62,16.51,1.49,63.65,1.56,1.47,4.99,7.09,0.955
"Israel","AS","2015",2.28,-0.6,5.25,23.32,1.16,92.18,0.94,1.38,8.38,7.28,0.901
"Israel","AS","2020",-2.15,-0.6,4.33,22.23,0.97,92.59,0.56,1.09,9.22,7.16,0.919
"Italy","EU","2015",0.78,0,11.9,24.74,0.31,69.57,0.05,0.52,60.73,5.95,0.875
"Italy","EU","2020",-9.03,-0.1,9.16,24.85,0.24,71.04,0.54,0.39,59.45,6.48,0.892
"Ivory Coast","AF","2015",7.19,1.3,3.15,11.18,-0.64,49.44,-0.44,-0.72,23.23,3.66,0.494
"Ivory Coast","AF","2020",1.96,2.4,3.49,12.03,-0.63,51.71,-0.53,-0.51,26.38,5.31,0.538
"Jamaica","NA","2015",0.92,3.7,13.51,24.82,-0.17,54.83,-0.26,0.33,2.89,5.71,0.722
"Jamaica","NA","2020",-10,5.2,9.48,25.71,-0.21,56.31,-0.02,0.56,2.96,6.31,0.734
"Jordan","AS","2015",2.5,-0.9,13.08,14.95,0.44,90.26,0.27,0.15,9.27,5.19,0.721
"Jordan","AS","2020",-1.55,0.3,19.03,15.98,0.22,91.42,0.06,0.13,10.2,4.4,0.729
"Kazakhstan","AS","2015",1.2,6.7,4.93,9.84,-0.5,57.19,-0.85,-0.11,17.54,5.86,0.806
"Kazakhstan","AS","2020",-2.5,6.7,4.89,8.32,-0.44,57.67,-0.36,0.14,18.76,6.15,0.825
"Kenya","AF","2015",4.97,6.6,2.78,14.84,-0.49,25.66,-1.01,-0.36,47.88,4.42,0.562
"Kenya","AF","2020",-0.25,5.4,5.73,14.3,-0.55,28,-0.86,-0.4,53.77,4.61,0.601
"Kyrgyzstan","AS","2015",3.88,6.5,7.56,16.8,-1.01,35.78,-1.14,-0.92,5.96,5.29,0.666
"Kyrgyzstan","AS","2020",-8.4,6.3,8.71,16.86,-0.94,36.86,-1.1,-0.53,6.58,5.74,0.697
"Latvia","EU","2015",3.89,0.2,9.87,22.39,0.79,67.98,0.46,1.09,1.98,5.1,0.842
"Latvia","EU","2020",-3.77,0.2,8.1,22.39,0.95,68.32,0.72,0.87,1.9,6.03,0.866
"Lebanon","AS","2015",0.46,-3.7,9.32,13.47,-0.79,88.11,-0.88,-0.36,6.53,4.84,0.728
"Lebanon","AS","2020",-25.91,84.9,13.3,10.88,-0.89,88.93,-1.16,-1.18,6.83,4.58,0.744
"Lesotho","AF","2015",3.13,3.2,23.84,33.77,-0.18,26.91,0.04,-0.72,2.06,4.9,0.499
"Lesotho","AF","2020",-7.56,5,24.56,18.31,-0.47,29.03,-0.11,-0.95,2.14,3.51,0.527
"Lithuania","EU","2015",2.02,-0.9,9.12,16.69,1,67.23,0.61,1.18,2.9,5.83,0.855
"Lithuania","EU","2020",-0.13,1.2,8.49,19.99,0.99,68.05,0.8,1.05,2.79,6.26,0.882
"Luxembourg","EU","2015",2.27,0.5,6.67,23.32,1.87,90.18,2.09,1.72,0.57,6.95,0.899
"Luxembourg","EU","2020",-1.78,0.8,6.77,25.24,1.78,91.45,2.06,1.83,0.63,7.32,0.916
"Madagascar","AF","2015",3.13,7.4,1.79,8.95,-0.68,35.19,-0.86,-1.3,24.23,3.68,0.514
"Madagascar","AF","2020",-7.14,4.2,2.47,9.4,-0.86,38.53,-0.99,-1.03,27.69,4.21,0.528
"Malaysia","AS","2015",5.09,2.1,3.1,14.06,0.42,74.21,0.21,0.96,30.27,5.77,0.797
"Malaysia","AS","2020",-5.65,-1.1,4.5,10.9,0.59,77.16,0.25,1.06,32.37,5.38,0.81
"Mali","AF","2015",6.17,1.5,7.73,14.1,-0.73,39.99,-0.68,-0.93,17.44,4,0.412
